member_id,age,plan_type,workouts_per_week,session_minutes,distance_km,months_active,trainer,referral_source,renewed
GYM3527,40.0,Pro,1,,2.0,7.0,No,Walk-in,No
GYM3406,33.0,Basic,3,60.0,,2.0,Yes,Friend,No
GYM3549,23.0,Elite,5,73.0,1.8,16.0,Yes,Advertisement,Yes
GYM3208,19.0,Basic,0,63.0,1.0,7.0,No,Friend,No
GYM3351,39.0,Basic,4,83.0,3.5,1.0,No,Friend,Yes
GYM3103,28.0,Basic,4,40.0,2.3,44.0,No,Friend,Yes
GYM3492,25.0,Elite,1,,2.9,41.0,No,Instagram,No
GYM3285,25.0,Basic,1,78.0,4.1,27.0,No,Friend,No
GYM3182,24.0,Pro,3,77.0,5.6,23.0,No,Instagram,Yes
GYM3512,35.0,Pro,0,49.0,3.5,10.0,No,Friend,No
GYM3153,34.0,Elite,1,51.0,8.3,35.0,No,Instagram,No
GYM3470,25.0,Basic,3,40.0,1.1,38.0,No,Friend,Yes
GYM3184,16.0,Pro,3,65.0,3.4,8.0,No,Instagram,No
GYM3531,34.0,Elite,2,71.0,4.0,14.0,No,Advertisement,No
GYM3587,31.0,Elite,3,44.0,6.4,31.0,No,Friend,Yes
GYM3370,27.0,Basic,0,20.0,6.3,45.0,No,Walk-in,No
GYM3525,28.0,Basic,6,52.0,3.0,35.0,Yes,Walk-in,Yes
GYM3445,27.0,Basic,3,55.0,4.7,32.0,No,Instagram,No
GYM3174,20.0,Elite,3,79.0,2.5,10.0,No,Instagram,Yes
GYM3558,19.0,Basic,4,69.0,6.0,26.0,No,Instagram,Yes
GYM3507,31.0,Elite,0,93.0,1.9,19.0,No,Advertisement,No
GYM3378,34.0,Basic,3,62.0,17.9,4.0,No,Friend,No
GYM3417,31.0,Basic,4,37.0,2.6,37.0,Yes,Instagram,Yes
GYM3123,26.0,Basic,3,74.0,2.4,6.0,No,Walk-in,No
GYM3382,33.0,Basic,1,66.0,12.0,35.0,Yes,Advertisement,No
GYM3254,37.0,Pro,5,92.0,8.2,19.0,No,Walk-in,Yes
GYM3325,21.0,Pro,2,67.0,0.9,2.0,Yes,Friend,No
GYM3381,26.0,Elite,1,71.0,5.2,17.0,No,Friend,No
GYM3559,34.0,Elite,3,,2.5,47.0,Yes,Friend,Yes
GYM3443,30.0,Pro,3,,3.8,17.0,Yes,Instagram,Yes
GYM3150,16.0,Elite,5,68.0,4.0,13.0,No,Friend,Yes
GYM3138,33.0,Pro,2,71.0,4.8,5.0,Yes,Advertisement,No
GYM3293,25.0,Pro,4,52.0,3.3,11.0,No,Friend,Yes
GYM3384,32.0,Elite,4,58.0,1.8,29.0,Yes,Friend,Yes
GYM3288,37.0,Pro,4,63.0,14.5,29.0,No,Walk-in,No
GYM3585,23.0,Basic,3,58.0,3.2,,No,Instagram,Yes
GYM3105,25.0,Basic,5,42.0,3.5,17.0,No,Advertisement,No
GYM3175,25.0,Pro,4,71.0,6.0,1.0,No,Friend,No
GYM3242,31.0,Basic,3,56.0,2.5,10.0,Yes,Walk-in,No
GYM3147,34.0,Basic,0,48.0,4.5,47.0,Yes,Friend,Yes
GYM3146,33.0,Basic,0,54.0,8.0,5.0,Yes,Walk-in,No
GYM3170,21.0,Pro,6,,6.3,14.0,No,Friend,Yes
GYM3596,27.0,Basic,2,102.0,4.3,17.0,No,Instagram,No
GYM3179,22.0,Basic,5,65.0,2.7,19.0,No,Instagram,Yes
GYM3130,31.0,Basic,5,48.0,7.3,20.0,Yes,Instagram,Yes
GYM3111,25.0,Pro,6,50.0,1.3,,No,Instagram,Yes
GYM3568,41.0,Pro,5,73.0,8.9,46.0,No,Instagram,Yes
GYM3575,21.0,Pro,3,55.0,,12.0,No,Friend,No
GYM3546,37.0,Basic,5,94.0,6.8,4.0,No,Friend,No
GYM3454,35.0,Basic,2,32.0,4.9,3.0,No,Instagram,No
GYM3215,37.0,Pro,5,65.0,,3.0,Yes,Friend,Yes
GYM3125,20.0,Pro,2,51.0,19.3,6.0,No,Friend,No
GYM3295,29.0,Pro,1,46.0,0.9,26.0,No,Friend,No
GYM3371,37.0,Basic,4,76.0,4.3,,No,Walk-in,No
GYM3165,34.0,Pro,1,94.0,1.6,13.0,No,Friend,No
GYM3360,21.0,Pro,5,33.0,10.7,25.0,No,Walk-in,Yes
GYM3145,28.0,Pro,4,72.0,0.7,11.0,No,Friend,Yes
GYM3348,28.0,Pro,2,53.0,10.1,15.0,Yes,Friend,No
GYM3588,22.0,Basic,4,74.0,1.6,4.0,No,Walk-in,No
GYM3578,16.0,Pro,5,83.0,10.4,8.0,Yes,Friend,Yes
GYM3548,31.0,Pro,2,58.0,9.7,1.0,No,Instagram,No
GYM3566,38.0,Pro,3,,7.3,1.0,Yes,Advertisement,No
GYM3583,29.0,Elite,2,,2.2,24.0,No,Instagram,No
GYM3168,18.0,Elite,4,69.0,1.5,34.0,No,Friend,Yes
GYM3121,27.0,Basic,2,69.0,1.5,33.0,Yes,Instagram,No
GYM3177,26.0,Basic,1,60.0,4.5,18.0,No,Friend,No
GYM3481,20.0,Basic,5,42.0,4.6,31.0,Yes,Advertisement,Yes
GYM3542,35.0,Basic,3,35.0,0.7,15.0,Yes,Advertisement,Yes
GYM3494,30.0,Pro,4,65.0,4.7,11.0,No,Friend,No
GYM3379,42.0,Basic,5,70.0,8.4,21.0,No,Walk-in,Yes
GYM3158,29.0,Basic,1,35.0,0.7,27.0,No,Friend,No
GYM3225,22.0,Pro,3,64.0,4.6,33.0,No,Walk-in,Yes
GYM3328,28.0,Basic,4,65.0,11.6,17.0,Yes,Advertisement,Yes
GYM3142,25.0,Basic,4,101.0,4.3,41.0,No,Friend,Yes
GYM3104,28.0,Basic,2,98.0,4.0,34.0,No,Walk-in,Yes
GYM3221,41.0,Basic,3,48.0,1.5,30.0,Yes,Instagram,Yes
GYM3268,25.0,Pro,2,59.0,4.1,4.0,No,Instagram,No
GYM3240,21.0,Pro,4,79.0,3.1,7.0,Yes,Instagram,Yes
GYM3419,24.0,Elite,0,59.0,0.7,30.0,No,Instagram,No
GYM3164,32.0,Basic,4,93.0,4.1,47.0,Yes,Instagram,Yes
GYM3426,35.0,Elite,6,32.0,5.1,33.0,No,Instagram,Yes
GYM3209,18.0,Basic,5,74.0,5.6,40.0,Yes,Instagram,Yes
GYM3555,22.0,Basic,2,55.0,0.9,38.0,Yes,Instagram,Yes
GYM3218,35.0,Basic,3,66.0,1.7,28.0,Yes,Instagram,Yes
GYM3305,20.0,Elite,2,59.0,11.0,7.0,Yes,Instagram,No
GYM3511,35.0,Basic,2,71.0,1.8,8.0,No,Walk-in,No
GYM3591,27.0,Basic,3,48.0,1.5,18.0,No,Walk-in,Yes
GYM3403,31.0,Basic,3,72.0,3.7,7.0,No,Walk-in,No
GYM3106,34.0,Pro,1,47.0,8.3,19.0,No,Friend,No
GYM3565,20.0,Pro,4,49.0,12.3,26.0,No,Walk-in,No
GYM3369,18.0,Pro,4,,3.0,18.0,No,Instagram,No
GYM3118,33.0,Elite,6,52.0,4.1,23.0,No,Advertisement,Yes
GYM3516,30.0,Pro,3,58.0,2.6,10.0,Yes,Walk-in,Yes
GYM3337,30.0,Basic,0,,7.8,32.0,No,Friend,No
GYM3361,33.0,Basic,2,31.0,2.7,48.0,No,Instagram,No
GYM3572,27.0,Pro,3,59.0,2.9,32.0,No,Instagram,Yes
GYM3401,28.0,Elite,5,44.0,2.2,12.0,No,Friend,Yes
GYM3222,24.0,Basic,4,37.0,3.2,20.0,Yes,Walk-in,Yes
GYM3178,31.0,Basic,3,70.0,25.0,28.0,No,Walk-in,No
GYM3493,29.0,Elite,0,72.0,3.5,24.0,No,Friend,No
GYM3251,30.0,Elite,3,49.0,5.2,2.0,Yes,Advertisement,Yes
GYM3386,21.0,Elite,4,36.0,1.2,3.0,No,Friend,Yes
GYM3263,16.0,Elite,2,57.0,,22.0,No,Instagram,No
GYM3554,29.0,Elite,2,73.0,11.8,16.0,No,Walk-in,No
GYM3365,25.0,Basic,4,57.0,4.0,45.0,Yes,Friend,Yes
GYM3471,24.0,Elite,1,55.0,17.7,40.0,No,Walk-in,No
GYM3573,33.0,Basic,3,78.0,3.2,12.0,Yes,Friend,Yes
GYM3243,23.0,Basic,5,64.0,2.3,1.0,No,Friend,No
GYM3495,27.0,Basic,2,47.0,3.1,15.0,No,Friend,No
GYM3398,29.0,Basic,5,49.0,,35.0,No,Friend,Yes
GYM3299,18.0,Basic,3,42.0,4.9,5.0,No,Walk-in,No
GYM3141,32.0,Pro,4,79.0,3.8,15.0,Yes,Friend,Yes
GYM3388,19.0,Basic,4,71.0,3.8,6.0,No,Walk-in,Yes
GYM3432,32.0,Pro,3,54.0,8.6,16.0,No,Instagram,No
GYM3331,24.0,Basic,4,,4.3,2.0,No,Instagram,Yes
GYM3345,26.0,Basic,1,74.0,2.9,41.0,No,Walk-in,No
GYM3476,37.0,Elite,3,41.0,,37.0,Yes,Walk-in,Yes
GYM3518,32.0,Basic,2,,4.6,25.0,Yes,Instagram,Yes
GYM3414,24.0,Basic,1,89.0,4.6,27.0,Yes,Instagram,No
GYM3363,33.0,Elite,5,,3.6,17.0,No,Walk-in,Yes
GYM3129,40.0,Pro,3,92.0,14.4,28.0,No,Friend,No
GYM3338,27.0,Pro,1,53.0,5.5,17.0,Yes,Friend,No
GYM3350,24.0,Basic,0,72.0,11.0,28.0,No,Friend,No
GYM3262,28.0,Elite,3,81.0,1.2,14.0,No,Friend,Yes
GYM3249,32.0,Pro,5,28.0,9.9,25.0,No,Advertisement,No
GYM3477,21.0,Elite,4,63.0,,38.0,Yes,Advertisement,Yes
GYM3473,29.0,Pro,2,66.0,7.4,3.0,No,Walk-in,No
GYM3194,28.0,Basic,2,39.0,11.1,18.0,Yes,Walk-in,No
GYM3593,42.0,Pro,2,43.0,3.2,16.0,Yes,Walk-in,Yes
GYM3321,28.0,Elite,3,,1.5,30.0,No,Walk-in,Yes
GYM3185,35.0,Basic,4,76.0,2.5,21.0,Yes,Walk-in,Yes
GYM3287,34.0,Basic,5,90.0,4.2,9.0,No,Friend,Yes
GYM3189,25.0,Elite,3,84.0,12.7,42.0,No,Instagram,Yes
GYM3420,41.0,Elite,3,63.0,9.2,5.0,No,Friend,No
GYM3134,35.0,Pro,3,56.0,4.9,5.0,Yes,Instagram,No
GYM3317,20.0,Elite,1,,1.2,18.0,No,Advertisement,No
GYM3172,19.0,Pro,6,54.0,3.5,23.0,No,Instagram,Yes
GYM3320,34.0,Basic,2,84.0,6.3,,Yes,Friend,Yes
GYM3404,16.0,Basic,2,54.0,3.9,3.0,No,Friend,No
GYM3474,33.0,Basic,6,48.0,,22.0,Yes,Walk-in,Yes
GYM3564,25.0,Basic,3,60.0,,6.0,Yes,Instagram,No
GYM3112,27.0,Basic,6,46.0,9.9,29.0,No,Friend,Yes
GYM3298,34.0,Basic,4,75.0,19.1,8.0,No,Walk-in,No
GYM3313,34.0,Elite,1,63.0,4.4,44.0,Yes,Advertisement,Yes
GYM3537,20.0,Basic,1,,2.4,3.0,No,Friend,No
GYM3334,30.0,Basic,3,78.0,2.0,14.0,Yes,Walk-in,Yes
GYM3517,30.0,Pro,0,33.0,2.0,19.0,No,Instagram,No
GYM3447,25.0,Pro,3,76.0,2.0,22.0,No,Walk-in,Yes
GYM3489,36.0,Elite,2,55.0,7.4,44.0,Yes,Friend,Yes
GYM3196,16.0,Elite,3,44.0,1.1,45.0,Yes,Instagram,Yes
GYM3425,32.0,Basic,2,45.0,5.5,48.0,No,Friend,No
GYM3397,25.0,Basic,1,58.0,5.0,11.0,Yes,Friend,No
GYM3163,34.0,Basic,5,61.0,4.6,13.0,No,Friend,Yes
GYM3322,28.0,Pro,2,67.0,7.1,35.0,Yes,Walk-in,Yes
GYM3195,27.0,Elite,3,43.0,13.3,38.0,Yes,Friend,Yes
GYM3113,16.0,Basic,4,67.0,1.0,35.0,No,Walk-in,Yes
GYM3117,24.0,Basic,2,47.0,3.1,27.0,No,Walk-in,No
GYM3461,34.0,Basic,5,77.0,7.0,15.0,No,Walk-in,Yes
GYM3346,40.0,Pro,1,73.0,1.9,9.0,No,Walk-in,No
GYM3487,37.0,Basic,4,70.0,5.2,1.0,Yes,Friend,Yes
GYM3307,26.0,Pro,3,50.0,6.9,28.0,No,Instagram,No
GYM3190,38.0,Pro,6,65.0,4.2,19.0,No,Instagram,Yes
GYM3407,29.0,Pro,1,60.0,3.5,43.0,No,Friend,No
GYM3429,33.0,Basic,2,61.0,0.4,13.0,Yes,Advertisement,No
GYM3459,34.0,Basic,1,68.0,12.7,25.0,No,Friend,No
GYM3139,29.0,Elite,1,64.0,13.3,16.0,Yes,Walk-in,No
GYM3186,29.0,Pro,2,35.0,3.6,13.0,No,Advertisement,No
GYM3281,23.0,Elite,4,68.0,9.0,1.0,Yes,Walk-in,No
GYM3530,32.0,Basic,5,78.0,3.0,4.0,No,Friend,Yes
GYM3245,25.0,Pro,2,51.0,5.1,35.0,No,Instagram,No
GYM3258,24.0,Pro,5,54.0,4.4,22.0,Yes,Friend,Yes
GYM3504,30.0,Basic,4,20.0,1.9,14.0,No,Instagram,Yes
GYM3465,22.0,Elite,3,66.0,3.2,14.0,No,Walk-in,Yes
GYM3466,31.0,Basic,3,67.0,3.8,32.0,No,Walk-in,Yes
GYM3449,35.0,Pro,4,71.0,5.9,1.0,Yes,Walk-in,No
GYM3300,31.0,Basic,4,81.0,2.5,10.0,No,Friend,Yes
GYM3392,24.0,Basic,5,48.0,0.7,19.0,Yes,Advertisement,Yes
GYM3171,33.0,Pro,2,,3.9,40.0,Yes,Advertisement,Yes
GYM3526,24.0,Basic,3,36.0,7.2,39.0,Yes,Instagram,Yes
GYM3514,35.0,Basic,5,,4.9,11.0,No,Advertisement,No
GYM3599,36.0,Pro,1,97.0,2.9,28.0,Yes,Friend,Yes
GYM3491,26.0,Basic,3,84.0,3.0,19.0,No,Friend,No
GYM3576,17.0,Basic,2,57.0,2.0,41.0,No,Friend,Yes
GYM3561,33.0,Basic,1,67.0,1.5,14.0,No,Friend,No
GYM3486,33.0,Pro,4,41.0,6.6,18.0,Yes,Instagram,Yes
GYM3233,21.0,Basic,5,70.0,7.0,19.0,Yes,Friend,Yes
GYM3160,23.0,Elite,2,,3.7,3.0,Yes,Advertisement,Yes
GYM3581,20.0,Pro,3,,6.3,23.0,Yes,Instagram,Yes
GYM3577,22.0,Pro,3,,4.4,30.0,No,Instagram,Yes
GYM3200,33.0,Basic,1,,5.9,3.0,No,Advertisement,No
GYM3119,34.0,Basic,4,65.0,1.5,24.0,No,Instagram,Yes
GYM3571,31.0,Basic,2,49.0,5.1,43.0,No,Instagram,Yes
GYM3560,29.0,Pro,1,49.0,6.7,26.0,No,Instagram,No
GYM3364,39.0,Basic,1,37.0,4.0,37.0,No,Walk-in,No
GYM3376,31.0,Basic,4,64.0,0.4,35.0,Yes,Friend,Yes
GYM3108,35.0,Basic,1,,1.4,5.0,No,Instagram,No
GYM3409,16.0,Pro,2,45.0,5.0,33.0,No,Walk-in,No
GYM3383,35.0,Basic,4,77.0,2.0,18.0,Yes,Walk-in,Yes
GYM3570,24.0,Basic,3,47.0,2.1,11.0,Yes,Advertisement,Yes
GYM3192,33.0,Basic,1,,2.0,2.0,No,Walk-in,No
GYM3352,36.0,Basic,0,78.0,0.5,30.0,No,Friend,No
GYM3132,31.0,Pro,0,80.0,3.0,13.0,No,Friend,No
